Date       Time,Pres,Depth,temp-.01,temp0,temp5,Conduct,TDS,salinity,spec_grav
2017-07-22 11:39:06,7316.30,64.163,12.56,12.62,12.63,34581,18674,21.40,1.017
2017-07-22 11:39:12,7315.14,64.151,12.56,12.62,12.63,34581,18674,21.39,1.017
2017-07-22 11:39:18,7315.52,64.155,12.56,12.62,12.63,34591,18681,21.41,1.017
2017-07-22 11:39:25,7316.69,64.167,12.56,12.62,12.63,34591,18683,21.41,1.017
2017-07-22 11:39:31,7315.00,64.150,12.56,12.62,12.63,34591,18682,21.41,1.017
2017-07-22 11:39:37,7314.74,64.147,12.56,12.62,12.63,34601,18687,21.41,1.017
2017-07-22 11:39:43,7316.55,64.166,12.56,12.62,12.63,34611,18692,21.42,1.017
2017-07-22 11:39:49,7315.12,64.151,12.56,12.62,12.63,34611,18694,21.42,1.017
2017-07-22 11:39:55,7316.03,64.160,12.56,12.62,12.63,34631,18701,21.43,1.017
2017-07-22 11:40:02,7315.77,64.158,12.56,12.62,12.57,34631,18704,21.43,1.017
2017-07-22 11:40:08,7316.41,64.164,12.56,12.62,12.63,34641,18710,21.44,1.017
2017-07-22 11:40:14,7316.15,64.161,12.56,12.62,12.63,34651,18713,21.45,1.017
2017-07-22 11:40:20,7317.05,64.171,12.56,12.62,12.63,34661,18717,21.45,1.017
2017-07-22 11:40:26,7316.53,64.165,12.56,12.62,12.63,34671,18725,21.46,1.017
2017-07-22 11:40:32,7316.53,64.165,12.56,12.62,12.63,34671,18726,21.46,1.017
2017-07-22 11:40:38,7316.01,64.160,12.56,12.62,12.63,34691,18736,21.47,1.017
2017-07-22 11:40:45,7315.48,64.155,12.56,12.62,12.63,34701,18741,21.48,1.017
2017-07-22 11:40:51,7316.39,64.164,12.56,12.62,12.57,34711,18745,21.49,1.017
2017-07-22 11:40:57,7314.70,64.147,12.56,12.62,12.63,34721,18750,21.49,1.017
2017-07-22 11:41:03,7316.77,64.168,12.56,12.62,12.63,34721,18753,21.49,1.017
2017-07-22 11:41:10,7316.51,64.165,12.56,12.62,12.63,34741,18763,21.51,1.017
2017-07-22 11:41:16,7315.98,64.160,12.56,12.62,12.63,34761,18773,21.52,1.017
2017-07-22 11:41:22,7316.63,64.166,12.56,12.62,12.63,34811,18801,21.56,1.017
2017-07-22 11:41:29,7317.53,64.176,12.56,12.62,12.63,34891,18841,21.61,1.017
2017-07-22 11:41:35,7317.27,64.173,12.56,12.62,12.63,34991,18898,21.68,1.017
2017-07-22 11:41:41,7317.00,64.170,12.56,12.62,12.63,35061,18933,21.72,1.018
2017-07-22 11:41:47,7315.32,64.153,12.56,12.62,12.63,35101,18958,21.75,1.018
2017-07-22 11:41:53,7316.22,64.162,12.56,12.62,12.63,35151,18984,21.79,1.018
2017-07-22 11:41:59,7315.70,64.157,12.56,12.62,12.63,35201,19010,21.82,1.018
2017-07-22 11:42:06,7315.43,64.154,12.56,12.62,12.63,35241,19033,21.85,1.018
2017-07-22 11:42:12,7317.24,64.173,12.56,12.62,12.63,35271,19047,21.87,1.018
2017-07-22 11:42:18,7316.71,64.167,12.56,12.62,12.63,35301,19064,21.89,1.018
2017-07-22 11:42:24,7316.45,64.165,12.56,12.62,12.63,35331,19080,21.91,1.018
2017-07-22 11:42:30,7316.45,64.165,12.56,12.62,12.57,35371,19100,21.93,1.018
2017-07-22 11:42:36,7317.09,64.171,12.56,12.62,12.63,35391,19113,21.95,1.018
2017-07-22 11:42:43,7316.83,64.168,12.56,12.62,12.63,35421,19131,21.97,1.018
2017-07-22 11:42:49,7318.90,64.189,12.56,12.62,12.63,35451,19144,21.99,1.018
2017-07-22 11:42:55,7316.30,64.163,12.56,12.62,12.63,35491,19165,22.02,1.018
2017-07-22 11:43:01,7315.78,64.158,12.56,12.62,12.63,35511,19179,22.03,1.018
2017-07-22 11:43:07,7316.42,64.164,12.56,12.62,12.63,35531,19191,22.05,1.018
2017-07-22 11:43:14,7316.15,64.161,12.56,12.62,12.63,35551,19201,22.06,1.018
2017-07-22 11:43:20,7317.06,64.171,12.56,12.62,12.57,35581,19214,22.08,1.018
2017-07-22 11:43:26,7316.53,64.165,12.62,12.62,12.63,35591,19220,22.08,1.018
2017-07-22 11:43:32,7316.26,64.163,12.56,12.62,12.63,35611,19234,22.10,1.018
2017-07-22 11:43:38,7317.43,64.175,12.56,12.62,12.63,35631,19244,22.11,1.018
2017-07-22 11:43:44,7316.00,64.160,12.56,12.62,12.63,35651,19255,22.13,1.018
2017-07-22 11:43:51,7316.64,64.166,12.56,12.62,12.63,35681,19267,22.14,1.018
2017-07-22 11:43:57,7316.38,64.164,12.56,12.62,12.63,35691,19274,22.15,1.018
2017-07-22 11:44:03,7317.28,64.173,12.56,12.62,12.63,35701,19278,22.16,1.018
2017-07-22 11:44:09,7317.01,64.170,12.56,12.62,12.63,35721,19289,22.17,1.018
2017-07-22 11:44:15,7318.18,64.182,12.56,12.62,12.63,35731,19298,22.18,1.018
2017-07-22 11:44:22,7317.39,64.174,12.56,12.62,12.63,35751,19306,22.19,1.018
