Date       Time,Pres,Depth M,Depth ft,temp-.01,temp0c,temp0f,temp3.8,Conduct,TDS,salinity,spec_grav
2017-08-07 10:30:35,9051.68,-81.938,-268.825,13.12,13.19,55.74,13.07,31110,16804,19.09,1.016
2017-08-07 10:30:40,9054.01,-81.962,-268.903,13.12,13.19,55.74,13.07,31110,16803,19.08,1.016
2017-08-07 10:30:44,9056.01,-81.982,-268.970,13.12,13.19,55.74,13.07,31130,16811,19.09,1.016
2017-08-07 10:30:48,9054.84,-81.970,-268.931,13.12,13.19,55.74,13.07,31130,16815,19.10,1.016
2017-08-07 10:30:53,9051.35,-81.935,-268.814,13.12,13.19,55.74,13.07,31120,16809,19.09,1.016
2017-08-07 10:30:57,9050.18,-81.923,-268.775,13.12,13.19,55.74,13.01,31140,16820,19.11,1.016
2017-08-07 10:31:02,9063.83,-82.062,-269.232,13.12,13.19,55.74,13.01,31160,16831,19.12,1.016
2017-08-07 10:31:06,9063.83,-82.062,-269.232,13.12,13.19,55.74,13.01,31150,16822,19.11,1.016
2017-08-07 10:31:10,9065.83,-82.082,-269.298,13.12,13.19,55.74,13.07,31140,16817,19.10,1.016
2017-08-07 10:31:14,9064.34,-82.067,-269.249,13.12,13.19,55.74,13.07,31160,16829,19.12,1.016
2017-08-07 10:31:18,9065.17,-82.075,-269.276,13.12,13.19,55.74,13.01,31160,16830,19.12,1.016
2017-08-07 10:31:22,9066.01,-82.084,-269.304,13.12,13.19,55.74,13.07,31160,16830,19.12,1.016
2017-08-07 10:31:27,9058.69,-82.009,-269.060,13.12,13.19,55.74,13.07,31170,16835,19.12,1.016
2017-08-07 10:31:31,9063.35,-82.057,-269.216,13.12,13.19,55.74,13.07,31170,16832,19.12,1.016
2017-08-07 10:31:35,9063.02,-82.054,-269.204,13.12,13.19,55.74,13.07,31170,16836,19.13,1.016
2017-08-07 10:31:39,9063.02,-82.054,-269.204,13.12,13.19,55.74,13.07,31100,16797,19.08,1.016
2017-08-07 10:31:43,9060.36,-82.026,-269.116,13.12,13.19,55.74,13.07,31170,16837,19.13,1.016
2017-08-07 10:31:47,9064.69,-82.071,-269.260,13.12,13.19,55.74,13.07,31180,16841,19.13,1.016
2017-08-07 10:31:52,9063.19,-82.055,-269.210,13.12,13.19,55.74,13.01,31180,16839,19.13,1.016
2017-08-07 10:31:56,9059.70,-82.020,-269.094,13.12,13.19,55.74,13.01,31180,16838,19.13,1.016
2017-08-07 10:32:00,9062.03,-82.043,-269.171,13.12,13.19,55.74,13.01,31170,16835,19.12,1.016
2017-08-07 10:32:04,9061.70,-82.040,-269.160,13.12,13.19,55.74,13.01,31170,16836,19.13,1.016
2017-08-07 10:32:08,9061.37,-82.037,-269.149,13.12,13.19,55.74,13.07,31170,16833,19.12,1.016
2017-08-07 10:32:12,9063.37,-82.057,-269.216,13.12,13.25,55.85,13.01,31120,16807,19.09,1.016
2017-08-07 10:32:17,9061.04,-82.033,-269.138,13.12,13.25,55.85,13.07,31100,16794,19.08,1.016
2017-08-07 10:32:21,9061.88,-82.042,-269.166,13.12,13.25,55.85,13.01,31120,16810,19.10,1.016
2017-08-07 10:32:25,9060.38,-82.027,-269.116,13.12,13.25,55.85,13.01,31120,16809,19.10,1.016
2017-08-07 10:32:29,9062.38,-82.047,-269.183,13.12,13.19,55.74,13.01,31180,16841,19.13,1.016
2017-08-07 10:32:33,9058.56,-82.008,-269.055,13.12,13.19,55.74,13.01,31180,16840,19.13,1.016
2017-08-07 10:32:37,9060.56,-82.028,-269.122,13.12,13.19,55.74,13.01,31190,16845,19.14,1.016
2017-08-07 10:32:41,9059.39,-82.017,-269.083,13.12,13.19,55.74,13.01,31190,16845,19.14,1.016
2017-08-07 10:32:46,9062.55,-82.049,-269.189,13.12,13.19,55.74,13.01,31200,16849,19.14,1.016
2017-08-07 10:32:50,9061.39,-82.037,-269.150,13.12,13.19,55.74,13.01,31190,16848,19.14,1.016
2017-08-07 10:32:54,9063.39,-82.057,-269.217,13.12,13.19,55.74,13.01,31200,16848,19.14,1.016
